Model;Producer;Watts;Amps;Volts;Shipping Weight (kg);Product Code;List Price;Made in;Discount;Min Quantity
REC225AE-US Sllver;Rec  Solar;225;7.8;28.8;48.40;SP1925415;$607.99;Singapore;21.85%;45
MF185UD5;  Mitsubishi;185;8.13;24.4;37.00;SP1988645;$783.25;Japan;23.65%;50
S175;Sharp ;175;4.95;34.8;38.50;SP1301750;$780.00;USA;22.45%;25
REC210AE-US Silver;Rec Solar  ;210;7.6;27.6;48.40;SP1925385;$594.99;Norway;22.65%;45
ES-A-200* -B Grade;Evergreen Solar;200;11.05;22.6;41.00;SP1900355;$611.99;USA;13.15%;45
40-watt Mono-crystalline SM;UPG;40;2.32;17.2;10.10;SP1904046;$499.99;China;24.75%;15
REC220AE-US Black; Rec Solar;220;7.8;28.4;48.40;SP1925345;$594.99;Norway;22.4%;25
HiS-S227SG Module; Hyundai;230;7.8;29.3;41.90;SP1280010;$638.99;South Korea;20.35%;30
REC215AE-US Silver;Rec Solar;215;7.7;28.0;48.40;SP1925395;$580.99;USA;19.9%;15
S80;Sharp;80;4.67;17.3;19.75;SP1301800;$350.99;USA;21.95%;35
US64;UniSolar;64;3.88;16.5;24.90;SP1900641;$615.00;China;15.2%;20
BP340J;BP Solar;40;2.31;17.3;13.00;SP1234006;$177.00;India;22.75%;40
NE-170UC1 ;Sharp;175;4.9;35.4;35.70;SP1301029;$524,99;USA;17.95%;5
SW SW175;SunWize;175;4.80;36.50;37.50;SP1401753;$778.92;China;18.9%;25
BPSX160B;BP Solar;160;4.6;35.0;33.00;SP1211600;$781.00;India;16.65%;35
Sharp ND-U235F1;Sharp;235;8.6;30;44.10;SP1350383;$690.99;USA;21.35%;35
REC225AE-US Black;Rec Solar;225;7.8;28.8;48.40;;$607.00;Singapore;18.05%;25
BPSX170B;BP Solar;170;4.8;35.4;33.00;SP1211700;$641.00;India;27.5%;40
HIT-N205A01;Sanyo;205;5.05;40.7;35.30;SP1924503;$748.00;Japan;19.9%;5
REC230AE-US Black;Rec Solar  ;230;7.9;29.1;48.40;SP1925425;$590.30;Singapore;24.85%;20
REC230AE-US Silver;Rec Solar  ;230;7.9;29.1;48.40;SP1925425;$590.00;USA;24.75%;35
SW SW130; SunWize;130;7.4;17.4;48.4;SP1401303;$785.58;China;17.3%;40
KD225GX-LFB; Kyocera;225;7.55;29.8;46.30;SP1002250;$555.40;Mexico;22.7%;5
HIT Power N 210N/HIP-210NKHA6;Sanyo;210;5.09;41.3;35.31;SP1902103;$629.72;USA;21.45%;10
BP350J; BP  Solar;50;2.9;17.5;16.00;SP1203406;$260.99;China;26.75%;15
ES-A-205-FA3 (black);Evergreen Solar;205;11.27;22.7;41.02;SP1953585;$649.00;China;11.6%;5
YL230;Yingli;230;7.8;29.5;29.50;SP1977715;$585.99;China;10.3%;40
BSP30;PowerUp Solar;30;1.67;18;25.00;SP1930126;$334.00;China;23.1%;45
KD235GX-LFB;Kyocera;235;7.89;29.8;46.30;SP1112351;$595.89;Mexico;14.3%;20
SB 225/01 2BB ;Solon Blue;225;7.65;29.4;51.81;SP1912433;$720.00;USA;21.25%;45
G-SA060;Kaneka ;60;0.9;67;30.25;SP1960489;$536.00;Japan;23.15%;5
CS CSI CS6P-220;Canadian Solar  ;220;8.09;29.2;44.10;SP1263002;$597.30;China;11.05%;15
KD215GX-LPU; Kyocera;215;8.09;26.6;39.70;SP1122151;$590.60;Japan;26.85%;35
KD135SX-UPU;Kyocera ;135;7.63;17.7;27.50;SP1131351;$678.99;Japan;26.8%;20
CS CSI CS6P-230;Canadian Solar ;230;8.34;29.6;44.10;SP1264002;$624.99;China;14%;15
ST 175;SunTech ;175;4.95;35.2;34.10;SP1901750;$512.80;China;24.55%;10
CON.E 175;Conergy ;175;4.95;35.2;35.70;SP1850012;$725.00;China;22.75%;30
HIT Power N 205N/HIP-205NKHA5; Sanyo;205;5.05;40.7;35.30;SP1920570;$570.45;Mexico;17.6%;30
REC230PE-US - Silver;Rec Solar;230;7.8;29.4;48.50;SP1512305;$586.99;Norway;27.4%;35
100-watt Mono-crystalline SM; UPG;100;.51;18;50.30;SP1910046;$650.00;China;26.6%;10
